KPI,KPIID,KPIScore
[SFI-PS3.1] Security Code Bugs,a0f0ce42-3063-5d3b-3b47-1ff3143abdc9,93
[SFI-ES5.2] 1ES Open Source Vulnerabilities (Operational),928b7015-db58-41a3-94ea-ab73c7bb9f4d,93
[SFI-ES3.1.1] 1ES Live Secret Detection,f75ced92-856c-43c0-b56f-6fbdcfba2a02,93
[SFI-AR1.2.7] Vulnerability Management,527fb616-07aa-8198-6419-50d04ef1c2f3,93
[SFI-AR1.1] Accelerate Response and Remediation,1bfea7aa-d3b6-472f-9d8f-8fb1faf4fd32,90
[SFI-TI2.3.2] Remove Plaintext Secrets from Production Azure Resources,9917f5dd-46a6-4e51-9d9a-b41361de8d4e,90
[SFI-TI4.2.27.10] Protect APPKI identities of baremetal machines in KeyGuard,0efbe74a-9f9e-40fe-9214-feb03bd6eb32,90
"[SFI-PS1.1] Security Repair Items, Feature Gaps & Asks - slr-pir - Critical",c55814ac-f52b-4259-9ea9-656bde21ac5b_slr-pir_Critical,83
[SFI-SM2.3.1] Standard Service Layer Audit Logging,87fdda4b-d1ad-4b37-bfa2-4b4872c7e97b,83
[SFI-AR1.2.2] Microsoft services migrate to 1P Image Gallery,f71ccfb4-c87b-404f-a067-4d3d5e21028c,83
[Compl-CA2.3] Support TLS 1.3 [For Azure FedRAMP Certification],82988c80-31b5-4f7a-9e86-243032c6cb47,83
[SFI-TI4.1.1] Identity Isolation,73996a69-a374-5f04-1b03-a4037b589e48,83
[SFI-ID2.1.1][SFI-ID2.1.2] MISE Compliance,f05752b5-8212-459a-a0ed-41f52ee47664,83
[SFI-PS2.1] Continuous SDL,2d6597da-8e08-4495-a4e1-954f7697a4a8,83
[SFI-TI4.10] Code Integrity Metrics,14ca01a7-c74a-c6cb-e72d-45411e651526,83
[SFI-SM2.1.1] Missing/Misconfigured Azure Security Pack,8d0a768d-a196-f8dd-6574-ee1707419ed8,83
[SFI-TI5.1.1] Always JIT,66408858-bc7a-e959-4abf-77c18136e66f,83
[Compl-CA2.4] OS Family - Get to Modern OS,3c8af5e7-13db-48ed-bd1f-0d5409788809,83
Certificates not Auto-rotated,32217c89-204f-53dc-df3d-a5d5cae820e6,83
[NS 2.5.4] Network DDoS Protection,a3357273-f260-407b-93a0-b5eed8666ff5,83
"[SFI-PS1.1] Security Repair Items, Feature Gaps & Asks",c55814ac-f52b-4259-9ea9-656bde21ac5b,83
Secrets Past SLA,e371414a-8773-526e-13a4-6141d3015b57,83
Azure Watson Not Enabled,49a25abf-fe19-1f6c-20ed-5a0fcbdf6312,83
User Access Review,0471bf82-93cc-b02b-1eb7-2ab5226a3929,83
Network Isolation: Internet Exposed Endpoints,aa9a7750-1459-4f7d-827c-d4e82eab765e,83
[SFI-NS2.4.1] Hosted On Behalf Of KPI,00f261ee-68b4-47f8-9f8b-c55d648ea8f0,83
TLS SDL Policy Compliance,54dfb7d5-0aad-4d6e-814f-a33663c978f4,83
[SFI-ID2.3.10] Remove SPLESS Auth,f923feb6-aa55-4c22-8e0b-21d8256342d8,80
[SFI-ID1.6.1]Block Human Access to dSMS Secrets,b54f089e-af8a-457b-9cfb-1a44f03519b0,80
[SFI-ES5.4.1] CRA Compliance: Binaries referenced in Software Bill of Materials (SBOM),8d4891da-3165-4da1-b872-4ba4011faf14,80
[SFI-ID2.3.19] Eliminate MSAv1 auth flows and migrate to Entra V2,fb81834a-1b12-4feb-9fb6-0b11dcea2f95,80
[SFI-TI4.2.15][TCB] Audit TCB teams to distrust remote storage platforms,04cc6054-30d7-4160-9b26-75518a210959,80
[SFI-ID2.3.2] Services remove MS-Graph App Asserted user tokens,21b7e05f-88ac-403c-bb5b-ee1a86510a34,80
[SFI-ES4.2.3] Network Isolation - TCB trusted endpoints,07f35bce-510f-4ff5-acba-3b1f91c733d9,80
[SFI-ID2.3.20] Move directory data access to standard authentication protocols via Microsoft Graph,b9832d88-bd94-4b44-9df2-4beab849046e,80
[SFI-TI3.2.1] Subject Name and Certificate must be isolated to a Cloud and a Tenant,ef37c8f7-9c3f-4a09-8112-4a1fd7698a6b,80
[SFI-ID2.3.21] Secure S2S calls with CDT integration for accessing Entra ID APIs,39dd1915-7a10-4282-8282-69f9bb509a3f,80
[SFI-TI4.1.9] Removal of High-Risk FIC Issuer Configurations on MSIs,4255ff41-5174-4e30-807d-ddbf77238de8,80
[SFI-ID2.3.3] Eliminate cross tenant access risk by disallowing PASSTHROUGH AUTH of users without presence in the tenant,0cbc0014-97e9-4457-9ff2-c583ae2fc5d5,80
[SFI-TI4.5.2] Move Geneva Actions operations to ASC,3b148129-06a0-4604-b9c9-562913a8fa53,80
